,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FIGNER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FIGNER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP
10,"[0.4830692708492279, 0.1233307421207428, 6.687063773824775e-07]","[0.6806173324584961, 0.19258370995521545, -0.08764316141605377]","[0.71065753698349, 0.35850968956947327, -0.12201672792434692]","[0.6070222854614258, 0.47333210706710815, -0.1626013219356537]","[0.4790460765361786, 0.520758867263794, -0.1823231279850006]","[0.611614465713501, 0.4754191040992737, -0.04430283606052399]","[0.620341420173645, 0.6097569465637207, -0.1746387630701065]","[0.5533192753791809, 0.5637065768241882, -0.26036420464515686]","[0.44792553782463074, 0.5282820463180542, -0.29645106196403503]","[0.519035279750824, 0.49864280223846436, -0.0868634432554245]","[0.5204403400421143, 0.6919856667518616, -0.21118630468845367]","[0.4957493841648102, 0.8057770729064941, -0.2819497883319855]","[0.45558974146842957, 0.9084651470184326, -0.31257814168930054]","[0.42063307762145996, 0.48377734422683716, -0.15907958149909973]","[0.4325069487094879, 0.6818577647209167, -0.29139840602874756]","[0.43941280245780945, 0.804816722869873, -0.36295613646507263]","[0.43583667278289795, 0.9142850637435913, -0.39024126529693604]","[0.30098503828048706, 0.44822052121162415, -0.23891745507717133]","[0.2419140785932541, 0.6152495741844177, -0.2977359890937805]","[0.21042996644973755, 0.7043726444244385, -0.30782848596572876]","[0.18120184540748596, 0.7777434587478638, -0.3126429617404938]"
11,"[0.4830692708492279, 0.1233307421207428, 6.687063773824775e-07]","[0.6806173324584961, 0.19258370995521545, -0.08764316141605377]","[0.71065753698349, 0.35850968956947327, -0.12201672792434692]","[0.6070222854614258, 0.47333210706710815, -0.1626013219356537]","[0.4790460765361786, 0.520758867263794, -0.1823231279850006]","[0.611614465713501, 0.4754191040992737, -0.04430283606052399]","[0.620341420173645, 0.6097569465637207, -0.1746387630701065]","[0.5533192753791809, 0.5637065768241882, -0.26036420464515686]","[0.44792553782463074, 0.5282820463180542, -0.29645106196403503]","[0.519035279750824, 0.49864280223846436, -0.0868634432554245]","[0.5204403400421143, 0.6919856667518616, -0.21118630468845367]","[0.4957493841648102, 0.8057770729064941, -0.2819497883319855]","[0.45558974146842957, 0.9084651470184326, -0.31257814168930054]","[0.42063307762145996, 0.48377734422683716, -0.15907958149909973]","[0.4325069487094879, 0.6818577647209167, -0.29139840602874756]","[0.43941280245780945, 0.804816722869873, -0.36295613646507263]","[0.43583667278289795, 0.9142850637435913, -0.39024126529693604]","[0.30098503828048706, 0.44822052121162415, -0.23891745507717133]","[0.2419140785932541, 0.6152495741844177, -0.2977359890937805]","[0.21042996644973755, 0.7043726444244385, -0.30782848596572876]","[0.18120184540748596, 0.7777434587478638, -0.3126429617404938]"
12,"[0.5919971466064453, 0.8522986173629761, 8.331426784025098e-07]","[0.4381936490535736, 0.8240908980369568, -0.19235019385814667]","[0.3564237356185913, 0.744487464427948, -0.3226686418056488]","[0.4035358726978302, 0.666824460029602, -0.4326527714729309]","[0.4682113826274872, 0.5813196301460266, -0.5274553894996643]","[0.5019212365150452, 0.5340139269828796, -0.20366360247135162]","[0.4788338541984558, 0.42378437519073486, -0.39746105670928955]","[0.4683600068092346, 0.4734977185726166, -0.5444456338882446]","[0.47866910696029663, 0.5313361883163452, -0.6208522915840149]","[0.6436629891395569, 0.5171356797218323, -0.19313840568065643]","[0.6777920126914978, 0.3625311851501465, -0.317375510931015]","[0.7097601890563965, 0.26968973875045776, -0.41241809725761414]","[0.7491500973701477, 0.1853349506855011, -0.47767797112464905]","[0.7586843371391296, 0.5479844808578491, -0.21251758933067322]","[0.8298668265342712, 0.3971777558326721, -0.32481157779693604]","[0.8809589743614197, 0.3034147620201111, -0.39915531873703003]","[0.9328962564468384, 0.21768301725387573, -0.4480527341365814]","[0.8511266708374023, 0.6149204969406128, -0.2483016550540924]","[0.9184049963951111, 0.5132500529289246, -0.32936418056488037]","[0.9655880928039551, 0.44788283109664917, -0.3575029671192169]",
13,"[0.5919971466064453, 0.8522986173629761, 8.331426784025098e-07]","[0.4381936490535736, 0.8240908980369568, -0.19235019385814667]","[0.3564237356185913, 0.744487464427948, -0.3226686418056488]","[0.4035358726978302, 0.666824460029602, -0.4326527714729309]","[0.4682113826274872, 0.5813196301460266, -0.5274553894996643]","[0.5019212365150452, 0.5340139269828796, -0.20366360247135162]","[0.4788338541984558, 0.42378437519073486, -0.39746105670928955]","[0.4683600068092346, 0.4734977185726166, -0.5444456338882446]","[0.47866910696029663, 0.5313361883163452, -0.6208522915840149]","[0.6436629891395569, 0.5171356797218323, -0.19313840568065643]","[0.6777920126914978, 0.3625311851501465, -0.317375510931015]","[0.7097601890563965, 0.26968973875045776, -0.41241809725761414]","[0.7491500973701477, 0.1853349506855011, -0.47767797112464905]","[0.7586843371391296, 0.5479844808578491, -0.21251758933067322]","[0.8298668265342712, 0.3971777558326721, -0.32481157779693604]","[0.8809589743614197, 0.3034147620201111, -0.39915531873703003]","[0.9328962564468384, 0.21768301725387573, -0.4480527341365814]","[0.8511266708374023, 0.6149204969406128, -0.2483016550540924]","[0.9184049963951111, 0.5132500529289246, -0.32936418056488037]","[0.9655880928039551, 0.44788283109664917, -0.3575029671192169]",
14,"[1.04208242893219, 0.5530219078063965, -9.269975294046162e-07]","[0.8879435062408447, 0.5495383739471436, -0.06596788763999939]","[0.72599196434021, 0.5206502676010132, -0.10327084362506866]","[0.6649655699729919, 0.4861675500869751, -0.14676016569137573]","[0.6616352796554565, 0.44066113233566284, -0.18508370220661163]","[0.6168407797813416, 0.44604313373565674, -0.05049346387386322]","[0.3966243863105774, 0.4034477770328522, -0.1203693225979805]","[0.2572617530822754, 0.38319966197013855, -0.16001401841640472]","[0.15519151091575623, 0.35873299837112427, -0.18187321722507477]","[0.7070626020431519, 0.40809282660484314, -0.06215153634548187]","[0.48943132162094116, 0.3785898685455322, -0.1286230981349945]","[0.3420501947402954, 0.35966920852661133, -0.16361820697784424]","[0.23142936825752258, 0.3339903950691223, -0.17712080478668213]","[0.8333569765090942, 0.3891132175922394, -0.08468717336654663]","[0.7055308222770691, 0.4158923327922821, -0.16738247871398926]","[0.7740274667739868, 0.4683237075805664, -0.17409908771514893]","[0.8434677124023438, 0.4905041456222534, -0.15524086356163025]","[0.9715170860290527, 0.3837805986404419, -0.11285829544067383]","[0.8455503582954407, 0.41178932785987854, -0.1548011302947998]","[0.8710440397262573, 0.454113632440567, -0.13041985034942627]","[0.9235836267471313, 0.4764704406261444, -0.09856968373060226]"
15,"[1.04208242893219, 0.5530219078063965, -9.269975294046162e-07]","[0.8879435062408447, 0.5495383739471436, -0.06596788763999939]","[0.72599196434021, 0.5206502676010132, -0.10327084362506866]","[0.6649655699729919, 0.4861675500869751, -0.14676016569137573]","[0.6616352796554565, 0.44066113233566284, -0.18508370220661163]","[0.6168407797813416, 0.44604313373565674, -0.05049346387386322]","[0.3966243863105774, 0.4034477770328522, -0.1203693225979805]","[0.2572617530822754, 0.38319966197013855, -0.16001401841640472]","[0.15519151091575623, 0.35873299837112427, -0.18187321722507477]","[0.7070626020431519, 0.40809282660484314, -0.06215153634548187]","[0.48943132162094116, 0.3785898685455322, -0.1286230981349945]","[0.3420501947402954, 0.35966920852661133, -0.16361820697784424]","[0.23142936825752258, 0.3339903950691223, -0.17712080478668213]","[0.8333569765090942, 0.3891132175922394, -0.08468717336654663]","[0.7055308222770691, 0.4158923327922821, -0.16738247871398926]","[0.7740274667739868, 0.4683237075805664, -0.17409908771514893]","[0.8434677124023438, 0.4905041456222534, -0.15524086356163025]","[0.9715170860290527, 0.3837805986404419, -0.11285829544067383]","[0.8455503582954407, 0.41178932785987854, -0.1548011302947998]","[0.8710440397262573, 0.454113632440567, -0.13041985034942627]","[0.9235836267471313, 0.4764704406261444, -0.09856968373060226]"
16,"[0.5796056389808655, 0.6714843511581421, 2.0937670797138708e-06]","[0.3837324380874634, 0.6221590638160706, -0.14961208403110504]","[0.27793893218040466, 0.5129981637001038, -0.23252899944782257]","[0.18280190229415894, 0.4229007363319397, -0.2980012595653534]","[0.043088674545288086, 0.3552788496017456, -0.3692329525947571]","[0.5418140888214111, 0.32900482416152954, -0.16860894858837128]","[0.5341647267341614, 0.19632093608379364, -0.27976205945014954]","[0.5362581610679626, 0.10135018825531006, -0.3780220150947571]","[0.5401333570480347, 0.02775949239730835, -0.45015475153923035]","[0.7068090438842773, 0.3479120135307312, -0.17756833136081696]","[0.7748408913612366, 0.2078334391117096, -0.2628905773162842]","[0.8115853667259216, 0.12037278711795807, -0.3393140137195587]","[0.8421162366867065, 0.0524347722530365, -0.3990897834300995]","[0.8406261801719666, 0.40455132722854614, -0.20278069376945496]","[0.9460433721542358, 0.289183109998703, -0.3029307425022125]","[1.0203547477722168, 0.21519964933395386, -0.35725194215774536]","[1.0882127285003662, 0.15563535690307617, -0.39742445945739746]","[0.9372036457061768, 0.48956871032714844, -0.24047009646892548]","[1.06551194190979, 0.4234831929206848, -0.344660222530365]","[1.151503086090088, 0.3820534348487854, -0.3740104138851166]",
17,"[0.5796056389808655, 0.6714843511581421, 2.0937670797138708e-06]","[0.3837324380874634, 0.6221590638160706, -0.14961208403110504]","[0.27793893218040466, 0.5129981637001038, -0.23252899944782257]","[0.18280190229415894, 0.4229007363319397, -0.2980012595653534]","[0.043088674545288086, 0.3552788496017456, -0.3692329525947571]","[0.5418140888214111, 0.32900482416152954, -0.16860894858837128]","[0.5341647267341614, 0.19632093608379364, -0.27976205945014954]","[0.5362581610679626, 0.10135018825531006, -0.3780220150947571]","[0.5401333570480347, 0.02775949239730835, -0.45015475153923035]","[0.7068090438842773, 0.3479120135307312, -0.17756833136081696]","[0.7748408913612366, 0.2078334391117096, -0.2628905773162842]","[0.8115853667259216, 0.12037278711795807, -0.3393140137195587]","[0.8421162366867065, 0.0524347722530365, -0.3990897834300995]","[0.8406261801719666, 0.40455132722854614, -0.20278069376945496]","[0.9460433721542358, 0.289183109998703, -0.3029307425022125]","[1.0203547477722168, 0.21519964933395386, -0.35725194215774536]","[1.0882127285003662, 0.15563535690307617, -0.39742445945739746]","[0.9372036457061768, 0.48956871032714844, -0.24047009646892548]","[1.06551194190979, 0.4234831929206848, -0.344660222530365]","[1.151503086090088, 0.3820534348487854, -0.3740104138851166]",
18,"[0.8551679849624634, 0.4196425676345825, -4.198513579467544e-06]","[0.9666891694068909, 0.43846169114112854, -0.19284234941005707]","[0.9594793319702148, 0.4819406270980835, -0.35159775614738464]","[0.9142735004425049, 0.5609461665153503, -0.48269957304000854]","[0.8564586639404297, 0.6230136752128601, -0.6161486506462097]","[0.8371153473854065, 0.32467156648635864, -0.39213621616363525]","[0.7911813855171204, 0.44906145334243774, -0.5648826956748962]","[0.8283383250236511, 0.5500351190567017, -0.6660692095756531]","[0.8506744503974915, 0.6191917657852173, -0.724137008190155]","[0.6972402930259705, 0.3289133310317993, -0.3640095591545105]","[0.6273339986801147, 0.4787657856941223, -0.5349606275558472]","[0.7382521629333496, 0.5978167653083801, -0.5968306064605713]","[0.8241585493087769, 0.6605943441390991, -0.6309306621551514]","[0.5667024850845337, 0.35846006870269775, -0.33667948842048645]","[0.49152910709381104, 0.49529749155044556, -0.5109462738037109]","[0.6290109157562256, 0.6035470962524414, -0.5196146965026855]","[0.7342607378959656, 0.662177324295044, -0.5020225644111633]","[0.4641653299331665, 0.4045313596725464, -0.31674373149871826]","[0.4233992099761963, 0.5147929787635803, -0.44621989130973816]","[0.5159358382225037, 0.5925036668777466, -0.4316529333591461]","[0.5905943512916565, 0.6387258172035217, -0.399473637342453]"
19,"[0.8551679849624634, 0.4196425676345825, -4.198513579467544e-06]","[0.9666891694068909, 0.43846169114112854, -0.19284234941005707]","[0.9594793319702148, 0.4819406270980835, -0.35159775614738464]","[0.9142735004425049, 0.5609461665153503, -0.48269957304000854]","[0.8564586639404297, 0.6230136752128601, -0.6161486506462097]","[0.8371153473854065, 0.32467156648635864, -0.39213621616363525]","[0.7911813855171204, 0.44906145334243774, -0.5648826956748962]","[0.8283383250236511, 0.5500351190567017, -0.6660692095756531]","[0.8506744503974915, 0.6191917657852173, -0.724137008190155]","[0.6972402930259705, 0.3289133310317993, -0.3640095591545105]","[0.6273339986801147, 0.4787657856941223, -0.5349606275558472]","[0.7382521629333496, 0.5978167653083801, -0.5968306064605713]","[0.8241585493087769, 0.6605943441390991, -0.6309306621551514]","[0.5667024850845337, 0.35846006870269775, -0.33667948842048645]","[0.49152910709381104, 0.49529749155044556, -0.5109462738037109]","[0.6290109157562256, 0.6035470962524414, -0.5196146965026855]","[0.7342607378959656, 0.662177324295044, -0.5020225644111633]","[0.4641653299331665, 0.4045313596725464, -0.31674373149871826]","[0.4233992099761963, 0.5147929787635803, -0.44621989130973816]","[0.5159358382225037, 0.5925036668777466, -0.4316529333591461]","[0.5905943512916565, 0.6387258172035217, -0.399473637342453]"
