,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FIGNER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FIGNER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP
39,"[0.4676157832145691, 0.9206290245056152, 1.5809398519195383e-06]","[0.3267602026462555, 0.8516724705696106, -0.12601828575134277]","[0.2826674282550812, 0.7200524806976318, -0.19009104371070862]","[0.3627709448337555, 0.6438748240470886, -0.2517910301685333]","[0.4308317303657532, 0.6675048470497131, -0.31619808077812195]","[0.263282835483551, 0.599285900592804, -0.10712609440088272]","[0.20273607969284058, 0.46148210763931274, -0.20003584027290344]","[0.16720877587795258, 0.3716197907924652, -0.2853538691997528]","[0.14168420433998108, 0.2962180972099304, -0.35363543033599854]","[0.3775509297847748, 0.589876115322113, -0.12960371375083923]","[0.337785005569458, 0.4504239559173584, -0.218622088432312]","[0.31387656927108765, 0.349692165851593, -0.3043351173400879]","[0.2837214767932892, 0.2648167014122009, -0.3632316291332245]","[0.4928662180900574, 0.6104509830474854, -0.1685265600681305]","[0.4786549508571625, 0.47374266386032104, -0.24478036165237427]","[0.4650118052959442, 0.3852996230125427, -0.3129711449146271]","[0.4297291934490204, 0.31452640891075134, -0.35688844323158264]","[0.61415696144104, 0.6502910256385803, -0.22407622635364532]","[0.6207777857780457, 0.5313493609428406, -0.28526532649993896]","[0.6135202050209045, 0.46066880226135254, -0.3172847032546997]","[0.5897908210754395, 0.40753671526908875, -0.33840087056159973]"
40,"[0.6727645993232727, 0.9121819138526917, 3.0252499527705368e-06]","[0.876022219657898, 0.8317126035690308, -0.1839517205953598]","[0.964943528175354, 0.6920506954193115, -0.2650066614151001]","[1.0616140365600586, 0.573493242263794, -0.3331931531429291]","[1.1495096683502197, 0.4883081316947937, -0.4017866849899292]","[0.647876501083374, 0.4716945290565491, -0.18042151629924774]","[0.6330650448799133, 0.2904869318008423, -0.32306644320487976]","[0.6262102723121643, 0.16781985759735107, -0.44514748454093933]","[0.6127567291259766, 0.06584414839744568, -0.5352467894554138]","[0.4662007987499237, 0.480794221162796, -0.1960935741662979]","[0.36426258087158203, 0.2889519929885864, -0.32171037793159485]","[0.29718586802482605, 0.15846896171569824, -0.4464172124862671]","[0.2446432113647461, 0.055589258670806885, -0.5354485511779785]","[0.32489436864852905, 0.5353140830993652, -0.2314480096101761]","[0.1884658932685852, 0.3640771508216858, -0.36787980794906616]","[0.08144697546958923, 0.24824634194374084, -0.4891366958618164]","[0.00023061037063598633, 0.15453672409057617, -0.5698193311691284]","[0.21028271317481995, 0.6288914680480957, -0.28295984864234924]","[0.030891478061676025, 0.5307223200798035, -0.43196430802345276]","[-0.10307657718658447, 0.464089959859848, -0.5131869316101074]",
41,"[0.6727645993232727, 0.9121819138526917, 3.0252499527705368e-06]","[0.876022219657898, 0.8317126035690308, -0.1839517205953598]","[0.964943528175354, 0.6920506954193115, -0.2650066614151001]","[1.0616140365600586, 0.573493242263794, -0.3331931531429291]","[1.1495096683502197, 0.4883081316947937, -0.4017866849899292]","[0.647876501083374, 0.4716945290565491, -0.18042151629924774]","[0.6330650448799133, 0.2904869318008423, -0.32306644320487976]","[0.6262102723121643, 0.16781985759735107, -0.44514748454093933]","[0.6127567291259766, 0.06584414839744568, -0.5352467894554138]","[0.4662007987499237, 0.480794221162796, -0.1960935741662979]","[0.36426258087158203, 0.2889519929885864, -0.32171037793159485]","[0.29718586802482605, 0.15846896171569824, -0.4464172124862671]","[0.2446432113647461, 0.055589258670806885, -0.5354485511779785]","[0.32489436864852905, 0.5353140830993652, -0.2314480096101761]","[0.1884658932685852, 0.3640771508216858, -0.36787980794906616]","[0.08144697546958923, 0.24824634194374084, -0.4891366958618164]","[0.00023061037063598633, 0.15453672409057617, -0.5698193311691284]","[0.21028271317481995, 0.6288914680480957, -0.28295984864234924]","[0.030891478061676025, 0.5307223200798035, -0.43196430802345276]","[-0.10307657718658447, 0.464089959859848, -0.5131869316101074]",
42,"[0.36703062057495117, 0.917830228805542, -3.3503906706755515e-06]","[0.17139410972595215, 0.8191108703613281, -0.04282687231898308]","[0.15333350002765656, 0.6691238880157471, -0.057635169476270676]","[0.2370385378599167, 0.5743151903152466, -0.09156609326601028]","[0.33135858178138733, 0.5070908069610596, -0.10929935425519943]","[0.30250346660614014, 0.5717959403991699, 0.052947092801332474]","[0.24437692761421204, 0.4940722584724426, -0.10740522295236588]","[0.21001170575618744, 0.5843067169189453, -0.20302939414978027]","[0.19206126034259796, 0.6566619277000427, -0.23110079765319824]","[0.47888725996017456, 0.5800119042396545, 0.01937452144920826]","[0.3835189640522003, 0.5170925855636597, -0.1670176088809967]","[0.2924242317676544, 0.6252235770225525, -0.22247500717639923]","[0.24945607781410217, 0.7132262587547302, -0.19380253553390503]","[0.6302441358566284, 0.6083115935325623, -0.03927718102931976]","[0.5112503170967102, 0.6039453148841858, -0.19970747828483582]","[0.40472710132598877, 0.7196604609489441, -0.17485257983207703]","[0.35118064284324646, 0.8008629083633423, -0.09547623246908188]","[0.7486612200737, 0.6497711539268494, -0.10594913363456726]","[0.6289798021316528, 0.6578662395477295, -0.18694356083869934]","[0.5124224424362183, 0.7401977181434631, -0.1492241621017456]","[0.46304774284362793, 0.790375828742981, -0.08287923783063889]"
43,"[0.36703062057495117, 0.917830228805542, -3.3503906706755515e-06]","[0.17139410972595215, 0.8191108703613281, -0.04282687231898308]","[0.15333350002765656, 0.6691238880157471, -0.057635169476270676]","[0.2370385378599167, 0.5743151903152466, -0.09156609326601028]","[0.33135858178138733, 0.5070908069610596, -0.10929935425519943]","[0.30250346660614014, 0.5717959403991699, 0.052947092801332474]","[0.24437692761421204, 0.4940722584724426, -0.10740522295236588]","[0.21001170575618744, 0.5843067169189453, -0.20302939414978027]","[0.19206126034259796, 0.6566619277000427, -0.23110079765319824]","[0.47888725996017456, 0.5800119042396545, 0.01937452144920826]","[0.3835189640522003, 0.5170925855636597, -0.1670176088809967]","[0.2924242317676544, 0.6252235770225525, -0.22247500717639923]","[0.24945607781410217, 0.7132262587547302, -0.19380253553390503]","[0.6302441358566284, 0.6083115935325623, -0.03927718102931976]","[0.5112503170967102, 0.6039453148841858, -0.19970747828483582]","[0.40472710132598877, 0.7196604609489441, -0.17485257983207703]","[0.35118064284324646, 0.8008629083633423, -0.09547623246908188]","[0.7486612200737, 0.6497711539268494, -0.10594913363456726]","[0.6289798021316528, 0.6578662395477295, -0.18694356083869934]","[0.5124224424362183, 0.7401977181434631, -0.1492241621017456]","[0.46304774284362793, 0.790375828742981, -0.08287923783063889]"
44,"[0.4626215398311615, 0.805851936340332, 2.461063559167087e-06]","[0.24444003403186798, 0.7447625398635864, -0.1195269525051117]","[0.0656624436378479, 0.6046557426452637, -0.18542778491973877]","[-0.06172460317611694, 0.5047343969345093, -0.24438805878162384]","[-0.1842571496963501, 0.4274456202983856, -0.30484268069267273]","[0.3771185576915741, 0.35409295558929443, -0.0879393219947815]","[0.41743433475494385, 0.183352991938591, -0.1832018494606018]","[0.43750759959220886, 0.07269015908241272, -0.27829816937446594]","[0.45163512229919434, -0.012669295072555542, -0.3490956127643585]","[0.5510982871055603, 0.358249306678772, -0.11887432634830475]","[0.6156291961669922, 0.16705982387065887, -0.1939866691827774]","[0.6513592004776001, 0.04220080375671387, -0.27814170718193054]","[0.67286217212677, -0.0531788170337677, -0.3414691388607025]","[0.7059500217437744, 0.3993467688560486, -0.1691654920578003]","[0.7889158129692078, 0.21483708918094635, -0.24170425534248352]","[0.8373066782951355, 0.0996847152709961, -0.3038128614425659]","[0.8763230443000793, 0.005145162343978882, -0.3527635335922241]","[0.8340482711791992, 0.47119271755218506, -0.234113410115242]","[0.9294973611831665, 0.33581867814064026, -0.30453336238861084]","[0.9831449389457703, 0.2494603395462036, -0.33434024453163147]",
45,"[0.4626215398311615, 0.805851936340332, 2.461063559167087e-06]","[0.24444003403186798, 0.7447625398635864, -0.1195269525051117]","[0.0656624436378479, 0.6046557426452637, -0.18542778491973877]","[-0.06172460317611694, 0.5047343969345093, -0.24438805878162384]","[-0.1842571496963501, 0.4274456202983856, -0.30484268069267273]","[0.3771185576915741, 0.35409295558929443, -0.0879393219947815]","[0.41743433475494385, 0.183352991938591, -0.1832018494606018]","[0.43750759959220886, 0.07269015908241272, -0.27829816937446594]","[0.45163512229919434, -0.012669295072555542, -0.3490956127643585]","[0.5510982871055603, 0.358249306678772, -0.11887432634830475]","[0.6156291961669922, 0.16705982387065887, -0.1939866691827774]","[0.6513592004776001, 0.04220080375671387, -0.27814170718193054]","[0.67286217212677, -0.0531788170337677, -0.3414691388607025]","[0.7059500217437744, 0.3993467688560486, -0.1691654920578003]","[0.7889158129692078, 0.21483708918094635, -0.24170425534248352]","[0.8373066782951355, 0.0996847152709961, -0.3038128614425659]","[0.8763230443000793, 0.005145162343978882, -0.3527635335922241]","[0.8340482711791992, 0.47119271755218506, -0.234113410115242]","[0.9294973611831665, 0.33581867814064026, -0.30453336238861084]","[0.9831449389457703, 0.2494603395462036, -0.33434024453163147]",
46,"[0.6096624732017517, 0.776857852935791, 3.457681714280625e-07]","[0.7907546758651733, 0.7173669338226318, -0.15582814812660217]","[0.8627749085426331, 0.5915646553039551, -0.1904546618461609]","[0.8070383071899414, 0.4858482778072357, -0.2114471197128296]","[0.6829750537872314, 0.4278305172920227, -0.21531365811824799]","[0.7819787263870239, 0.4875802993774414, -0.02159474976360798]","[0.7518037557601929, 0.37972161173820496, -0.15419499576091766]","[0.6936677694320679, 0.38515812158584595, -0.22603058815002441]","[0.6838797926902771, 0.42318224906921387, -0.24455526471138]","[0.6064283847808838, 0.5043154954910278, 0.01988820545375347]","[0.5015988945960999, 0.39525291323661804, -0.17667701840400696]","[0.5039477348327637, 0.45637285709381104, -0.25669169425964355]","[0.5745531916618347, 0.524062991142273, -0.24389337003231049]","[0.45916813611984253, 0.5395876169204712, 0.03709596022963524]","[0.3736036717891693, 0.47085773944854736, -0.1870766580104828]","[0.4462491571903229, 0.5571158528327942, -0.21131561696529388]","[0.5480058789253235, 0.6293212175369263, -0.14660318195819855]","[0.3351595997810364, 0.5850083827972412, 0.04746328666806221]","[0.29444366693496704, 0.5450319647789001, -0.14058279991149902]","[0.36573201417922974, 0.6138280630111694, -0.16217175126075745]","[0.46071314811706543, 0.6692963242530823, -0.11622514575719833]"
47,"[0.6096624732017517, 0.776857852935791, 3.457681714280625e-07]","[0.7907546758651733, 0.7173669338226318, -0.15582814812660217]","[0.8627749085426331, 0.5915646553039551, -0.1904546618461609]","[0.8070383071899414, 0.4858482778072357, -0.2114471197128296]","[0.6829750537872314, 0.4278305172920227, -0.21531365811824799]","[0.7819787263870239, 0.4875802993774414, -0.02159474976360798]","[0.7518037557601929, 0.37972161173820496, -0.15419499576091766]","[0.6936677694320679, 0.38515812158584595, -0.22603058815002441]","[0.6838797926902771, 0.42318224906921387, -0.24455526471138]","[0.6064283847808838, 0.5043154954910278, 0.01988820545375347]","[0.5015988945960999, 0.39525291323661804, -0.17667701840400696]","[0.5039477348327637, 0.45637285709381104, -0.25669169425964355]","[0.5745531916618347, 0.524062991142273, -0.24389337003231049]","[0.45916813611984253, 0.5395876169204712, 0.03709596022963524]","[0.3736036717891693, 0.47085773944854736, -0.1870766580104828]","[0.4462491571903229, 0.5571158528327942, -0.21131561696529388]","[0.5480058789253235, 0.6293212175369263, -0.14660318195819855]","[0.3351595997810364, 0.5850083827972412, 0.04746328666806221]","[0.29444366693496704, 0.5450319647789001, -0.14058279991149902]","[0.36573201417922974, 0.6138280630111694, -0.16217175126075745]","[0.46071314811706543, 0.6692963242530823, -0.11622514575719833]"
48,"[0.505609393119812, 0.8523967266082764, -2.0232102997397305e-06]","[0.7577195763587952, 0.735001266002655, -0.10013239830732346]","[0.9148119688034058, 0.5348981618881226, -0.10893863439559937]","[0.9529666900634766, 0.37837567925453186, -0.11139524728059769]","[1.021949291229248, 0.27831029891967773, -0.07650669664144516]","[0.6551246047019958, 0.42891302704811096, 0.04830509424209595]","[0.6038285493850708, 0.29532426595687866, -0.07720915228128433]","[0.6358917951583862, 0.41230911016464233, -0.12898895144462585]","[0.656236469745636, 0.48178577423095703, -0.13899235427379608]","[0.47893407940864563, 0.4622335433959961, 0.05867002531886101]","[0.41898685693740845, 0.33624541759490967, -0.11271478235721588]","[0.5239905118942261, 0.4787920415401459, -0.1604847013950348]","[0.5671872496604919, 0.5358519554138184, -0.14140020310878754]","[0.337550550699234, 0.5233592987060547, 0.044545624405145645]","[0.30145689845085144, 0.43445059657096863, -0.12835587561130524]","[0.4248197078704834, 0.5661197900772095, -0.06893026828765869]","[0.46488720178604126, 0.6180863380432129, 0.025698889046907425]","[0.22528201341629028, 0.5998009443283081, 0.02380245178937912]","[0.19817838072776794, 0.5338796377182007, -0.07536966353654861]","[0.315340518951416, 0.6272261738777161, -0.0133447777479887]",
49,"[0.505609393119812, 0.8523967266082764, -2.0232102997397305e-06]","[0.7577195763587952, 0.735001266002655, -0.10013239830732346]","[0.9148119688034058, 0.5348981618881226, -0.10893863439559937]","[0.9529666900634766, 0.37837567925453186, -0.11139524728059769]","[1.021949291229248, 0.27831029891967773, -0.07650669664144516]","[0.6551246047019958, 0.42891302704811096, 0.04830509424209595]","[0.6038285493850708, 0.29532426595687866, -0.07720915228128433]","[0.6358917951583862, 0.41230911016464233, -0.12898895144462585]","[0.656236469745636, 0.48178577423095703, -0.13899235427379608]","[0.47893407940864563, 0.4622335433959961, 0.05867002531886101]","[0.41898685693740845, 0.33624541759490967, -0.11271478235721588]","[0.5239905118942261, 0.4787920415401459, -0.1604847013950348]","[0.5671872496604919, 0.5358519554138184, -0.14140020310878754]","[0.337550550699234, 0.5233592987060547, 0.044545624405145645]","[0.30145689845085144, 0.43445059657096863, -0.12835587561130524]","[0.4248197078704834, 0.5661197900772095, -0.06893026828765869]","[0.46488720178604126, 0.6180863380432129, 0.025698889046907425]","[0.22528201341629028, 0.5998009443283081, 0.02380245178937912]","[0.19817838072776794, 0.5338796377182007, -0.07536966353654861]","[0.315340518951416, 0.6272261738777161, -0.0133447777479887]",
50,"[0.3166103661060333, 0.7647235989570618, -3.13252303385525e-06]","[0.00930255651473999, 0.7232262492179871, -0.12567685544490814]","[-0.16256389021873474, 0.5663446187973022, -0.15971963107585907]","[-0.1606506109237671, 0.44178372621536255, -0.19068236649036407]","[-0.09445822238922119, 0.37597501277923584, -0.1845259815454483]","[0.020366311073303223, 0.41567909717559814, -0.11700308322906494]","[0.02475595474243164, 0.31768473982810974, -0.30876854062080383]","[0.03485259413719177, 0.44949546456336975, -0.36955761909484863]","[0.04801678657531738, 0.5267590880393982, -0.3667909801006317]","[0.2309209108352661, 0.4093765318393707, -0.10823965817689896]","[0.23391343653202057, 0.3122285008430481, -0.341455340385437]","[0.21603122353553772, 0.48018914461135864, -0.35448649525642395]","[0.2238883674144745, 0.5571211576461792, -0.29072704911231995]","[0.4335520565509796, 0.4239566922187805, -0.13030119240283966]","[0.4402012825012207, 0.36492541432380676, -0.3483790457248688]","[0.3682088255882263, 0.5202282667160034, -0.30422553420066833]","[0.35285645723342896, 0.61334627866745, -0.19312401115894318]","[0.6181133985519409, 0.44307100772857666, -0.16291821002960205]","[0.683161735534668, 0.28989773988723755, -0.3180826008319855]","[0.6866641044616699, 0.1938779056072235, -0.3539583086967468]","[0.7245677709579468, 0.10653921961784363, -0.3323856592178345]"
51,"[0.3166103661060333, 0.7647235989570618, -3.13252303385525e-06]","[0.00930255651473999, 0.7232262492179871, -0.12567685544490814]","[-0.16256389021873474, 0.5663446187973022, -0.15971963107585907]","[-0.1606506109237671, 0.44178372621536255, -0.19068236649036407]","[-0.09445822238922119, 0.37597501277923584, -0.1845259815454483]","[0.020366311073303223, 0.41567909717559814, -0.11700308322906494]","[0.02475595474243164, 0.31768473982810974, -0.30876854062080383]","[0.03485259413719177, 0.44949546456336975, -0.36955761909484863]","[0.04801678657531738, 0.5267590880393982, -0.3667909801006317]","[0.2309209108352661, 0.4093765318393707, -0.10823965817689896]","[0.23391343653202057, 0.3122285008430481, -0.341455340385437]","[0.21603122353553772, 0.48018914461135864, -0.35448649525642395]","[0.2238883674144745, 0.5571211576461792, -0.29072704911231995]","[0.4335520565509796, 0.4239566922187805, -0.13030119240283966]","[0.4402012825012207, 0.36492541432380676, -0.3483790457248688]","[0.3682088255882263, 0.5202282667160034, -0.30422553420066833]","[0.35285645723342896, 0.61334627866745, -0.19312401115894318]","[0.6181133985519409, 0.44307100772857666, -0.16291821002960205]","[0.683161735534668, 0.28989773988723755, -0.3180826008319855]","[0.6866641044616699, 0.1938779056072235, -0.3539583086967468]","[0.7245677709579468, 0.10653921961784363, -0.3323856592178345]"
52,"[0.4707706868648529, 0.8661229610443115, -2.235868123534601e-06]","[0.7863765954971313, 0.7579095959663391, -0.12599584460258484]","[1.0044770240783691, 0.569074273109436, -0.13817864656448364]","[1.0339715480804443, 0.42995166778564453, -0.14167040586471558]","[1.0325523614883423, 0.3356403410434723, -0.10019867867231369]","[0.561817467212677, 0.45966801047325134, 0.015439190901815891]","[0.49818849563598633, 0.3463391661643982, -0.16024206578731537]","[0.5740712285041809, 0.46182265877723694, -0.23579247295856476]","[0.6158856153488159, 0.5401394367218018, -0.2480154186487198]","[0.30717962980270386, 0.49850940704345703, 0.023152630776166916]","[0.26998862624168396, 0.39298945665359497, -0.204399973154068]","[0.42732614278793335, 0.5298011898994446, -0.2693009674549103]","[0.48661112785339355, 0.5950183868408203, -0.24876391887664795]","[0.11495491862297058, 0.5623459219932556, 0.002550124190747738]","[0.11652302742004395, 0.4788554310798645, -0.22872638702392578]","[0.3009708523750305, 0.6055720448493958, -0.16119784116744995]","[0.3609417974948883, 0.6652906537055969, -0.04610322043299675]","[-0.04094114899635315, 0.6418561935424805, -0.025698471814393997]","[-0.013029545545578003, 0.5812419652938843, -0.17056135833263397]","[0.16451051831245422, 0.6735113263130188, -0.0986374169588089]",
53,"[0.4707706868648529, 0.8661229610443115, -2.235868123534601e-06]","[0.7863765954971313, 0.7579095959663391, -0.12599584460258484]","[1.0044770240783691, 0.569074273109436, -0.13817864656448364]","[1.0339715480804443, 0.42995166778564453, -0.14167040586471558]","[1.0325523614883423, 0.3356403410434723, -0.10019867867231369]","[0.561817467212677, 0.45966801047325134, 0.015439190901815891]","[0.49818849563598633, 0.3463391661643982, -0.16024206578731537]","[0.5740712285041809, 0.46182265877723694, -0.23579247295856476]","[0.6158856153488159, 0.5401394367218018, -0.2480154186487198]","[0.30717962980270386, 0.49850940704345703, 0.023152630776166916]","[0.26998862624168396, 0.39298945665359497, -0.204399973154068]","[0.42732614278793335, 0.5298011898994446, -0.2693009674549103]","[0.48661112785339355, 0.5950183868408203, -0.24876391887664795]","[0.11495491862297058, 0.5623459219932556, 0.002550124190747738]","[0.11652302742004395, 0.4788554310798645, -0.22872638702392578]","[0.3009708523750305, 0.6055720448493958, -0.16119784116744995]","[0.3609417974948883, 0.6652906537055969, -0.04610322043299675]","[-0.04094114899635315, 0.6418561935424805, -0.025698471814393997]","[-0.013029545545578003, 0.5812419652938843, -0.17056135833263397]","[0.16451051831245422, 0.6735113263130188, -0.0986374169588089]",
54,"[0.2667663097381592, 0.9301908016204834, -3.7847121348022483e-06]","[-0.03298798203468323, 0.8905876874923706, -0.1607624590396881]","[-0.1981196105480194, 0.7461461424827576, -0.2036660611629486]","[-0.19623667001724243, 0.6254074573516846, -0.2409038543701172]","[-0.13824406266212463, 0.5514044165611267, -0.2379639893770218]","[-0.0244942307472229, 0.6140925288200378, -0.07877768576145172]","[0.024701684713363647, 0.5390228629112244, -0.289124995470047]","[0.056204989552497864, 0.645496129989624, -0.3642031252384186]","[0.05750250816345215, 0.7076736092567444, -0.3624333143234253]","[0.19450345635414124, 0.6094923615455627, -0.057053226977586746]","[0.2326546013355255, 0.5346009731292725, -0.3078303933143616]","[0.23270666599273682, 0.6704056262969971, -0.3400636315345764]","[0.2200920283794403, 0.7290878891944885, -0.28332871198654175]","[0.40314826369285583, 0.6244112253189087, -0.0757795199751854]","[0.45749539136886597, 0.5635910630226135, -0.3351701498031616]","[0.40329253673553467, 0.6915392875671387, -0.3071824610233307]","[0.3627833425998688, 0.7656763195991516, -0.1920667439699173]","[0.6083543300628662, 0.6446434259414673, -0.105526864528656]","[0.6811760663986206, 0.5051009654998779, -0.2741003632545471]","[0.7103655338287354, 0.4137258231639862, -0.30575424432754517]","[0.7389724254608154, 0.3230572044849396, -0.27509406208992004]"
55,"[0.2667663097381592, 0.9301908016204834, -3.7847121348022483e-06]","[-0.03298798203468323, 0.8905876874923706, -0.1607624590396881]","[-0.1981196105480194, 0.7461461424827576, -0.2036660611629486]","[-0.19623667001724243, 0.6254074573516846, -0.2409038543701172]","[-0.13824406266212463, 0.5514044165611267, -0.2379639893770218]","[-0.0244942307472229, 0.6140925288200378, -0.07877768576145172]","[0.024701684713363647, 0.5390228629112244, -0.289124995470047]","[0.056204989552497864, 0.645496129989624, -0.3642031252384186]","[0.05750250816345215, 0.7076736092567444, -0.3624333143234253]","[0.19450345635414124, 0.6094923615455627, -0.057053226977586746]","[0.2326546013355255, 0.5346009731292725, -0.3078303933143616]","[0.23270666599273682, 0.6704056262969971, -0.3400636315345764]","[0.2200920283794403, 0.7290878891944885, -0.28332871198654175]","[0.40314826369285583, 0.6244112253189087, -0.0757795199751854]","[0.45749539136886597, 0.5635910630226135, -0.3351701498031616]","[0.40329253673553467, 0.6915392875671387, -0.3071824610233307]","[0.3627833425998688, 0.7656763195991516, -0.1920667439699173]","[0.6083543300628662, 0.6446434259414673, -0.105526864528656]","[0.6811760663986206, 0.5051009654998779, -0.2741003632545471]","[0.7103655338287354, 0.4137258231639862, -0.30575424432754517]","[0.7389724254608154, 0.3230572044849396, -0.27509406208992004]"
56,"[0.9636157751083374, 0.36799517273902893, 2.6035882001451682e-06]","[0.7189152836799622, 0.44210928678512573, -0.049353476613759995]","[0.6551834940910339, 0.5795863270759583, -0.07826133072376251]","[0.6944408416748047, 0.6962643265724182, -0.08653128147125244]","[0.742469847202301, 0.7706134915351868, -0.09353533387184143]","[0.8527311086654663, 0.6472185254096985, -0.20757275819778442]","[0.7545171976089478, 0.8352194428443909, -0.2742003798484802]","[0.7244791984558105, 0.9322993755340576, -0.2938036024570465]","[0.7447962164878845, 1.0027310848236084, -0.29529425501823425]","[1.0112216472625732, 0.6552743315696716, -0.19301283359527588]","[0.8396109342575073, 0.8634318709373474, -0.2471906691789627]","[0.7629879117012024, 0.9696435928344727, -0.25369787216186523]","[0.7430011034011841, 1.0465476512908936, -0.24989773333072662]","[1.1213252544403076, 0.6560970544815063, -0.16781459748744965]","[0.9481995701789856, 0.8416680693626404, -0.1903678923845291]","[0.8744269609451294, 0.9271941781044006, -0.18026818335056305]","[0.8608469367027283, 0.9817749857902527, -0.17058387398719788]","[1.1756248474121094, 0.6483811140060425, -0.14293630421161652]","[1.0329920053482056, 0.7831981182098389, -0.14709290862083435]","[0.9476590752601624, 0.8456730246543884, -0.1220230758190155]",
57,"[0.9636157751083374, 0.36799517273902893, 2.6035882001451682e-06]","[0.7189152836799622, 0.44210928678512573, -0.049353476613759995]","[0.6551834940910339, 0.5795863270759583, -0.07826133072376251]","[0.6944408416748047, 0.6962643265724182, -0.08653128147125244]","[0.742469847202301, 0.7706134915351868, -0.09353533387184143]","[0.8527311086654663, 0.6472185254096985, -0.20757275819778442]","[0.7545171976089478, 0.8352194428443909, -0.2742003798484802]","[0.7244791984558105, 0.9322993755340576, -0.2938036024570465]","[0.7447962164878845, 1.0027310848236084, -0.29529425501823425]","[1.0112216472625732, 0.6552743315696716, -0.19301283359527588]","[0.8396109342575073, 0.8634318709373474, -0.2471906691789627]","[0.7629879117012024, 0.9696435928344727, -0.25369787216186523]","[0.7430011034011841, 1.0465476512908936, -0.24989773333072662]","[1.1213252544403076, 0.6560970544815063, -0.16781459748744965]","[0.9481995701789856, 0.8416680693626404, -0.1903678923845291]","[0.8744269609451294, 0.9271941781044006, -0.18026818335056305]","[0.8608469367027283, 0.9817749857902527, -0.17058387398719788]","[1.1756248474121094, 0.6483811140060425, -0.14293630421161652]","[1.0329920053482056, 0.7831981182098389, -0.14709290862083435]","[0.9476590752601624, 0.8456730246543884, -0.1220230758190155]",
58,"[0.8096209764480591, 0.5911988615989685, -1.036501430462522e-06]","[0.5578356385231018, 0.6694462299346924, 0.029178276658058167]","[0.49075815081596375, 0.7842743396759033, 0.002669557696208358]","[0.5811172723770142, 0.8776031136512756, -0.03523740544915199]","[0.7267162799835205, 0.9277586340904236, -0.0795101672410965]","[0.48408743739128113, 0.8344385623931885, -0.11393189430236816]","[0.5370832681655884, 0.9966897964477539, -0.2253953367471695]","[0.5999529361724854, 1.012447476387024, -0.27804890275001526]","[0.6182835102081299, 0.9791554808616638, -0.2940177321434021]","[0.6951606273651123, 0.8251768946647644, -0.1651599258184433]","[0.8158754706382751, 0.9814997315406799, -0.267328679561615]","[0.8367440700531006, 0.9429090619087219, -0.28561586141586304]","[0.805901288986206, 0.8800593018531799, -0.2831393778324127]","[0.9130162596702576, 0.8068667650222778, -0.21060025691986084]","[1.0129023790359497, 0.9438512921333313, -0.28162410855293274]","[1.0043535232543945, 0.8991947174072266, -0.23386268317699432]","[0.9658469557762146, 0.8414205312728882, -0.1900121420621872]","[1.1081544160842896, 0.7785879969596863, -0.2503144443035126]","[1.1674816608428955, 0.8790212869644165, -0.29703274369239807]","[1.1375117301940918, 0.848494827747345, -0.25114819407463074]","[1.0990597009658813, 0.8054087162017822, -0.20639552175998688]"
59,"[0.8096209764480591, 0.5911988615989685, -1.036501430462522e-06]","[0.5578356385231018, 0.6694462299346924, 0.029178276658058167]","[0.49075815081596375, 0.7842743396759033, 0.002669557696208358]","[0.5811172723770142, 0.8776031136512756, -0.03523740544915199]","[0.7267162799835205, 0.9277586340904236, -0.0795101672410965]","[0.48408743739128113, 0.8344385623931885, -0.11393189430236816]","[0.5370832681655884, 0.9966897964477539, -0.2253953367471695]","[0.5999529361724854, 1.012447476387024, -0.27804890275001526]","[0.6182835102081299, 0.9791554808616638, -0.2940177321434021]","[0.6951606273651123, 0.8251768946647644, -0.1651599258184433]","[0.8158754706382751, 0.9814997315406799, -0.267328679561615]","[0.8367440700531006, 0.9429090619087219, -0.28561586141586304]","[0.805901288986206, 0.8800593018531799, -0.2831393778324127]","[0.9130162596702576, 0.8068667650222778, -0.21060025691986084]","[1.0129023790359497, 0.9438512921333313, -0.28162410855293274]","[1.0043535232543945, 0.8991947174072266, -0.23386268317699432]","[0.9658469557762146, 0.8414205312728882, -0.1900121420621872]","[1.1081544160842896, 0.7785879969596863, -0.2503144443035126]","[1.1674816608428955, 0.8790212869644165, -0.29703274369239807]","[1.1375117301940918, 0.848494827747345, -0.25114819407463074]","[1.0990597009658813, 0.8054087162017822, -0.20639552175998688]"
